order_id,product_id,qty,unit_price,category
100000,1089,1,80.78,toys
100000,1143,1,164.32,home
100000,1180,1,213.1,home
100000,1071,1,122.96,sports
100001,1071,1,122.96,sports
100001,1073,1,250.0,home
100001,1142,2,67.88,apparel
100001,1061,1,152.78,home
100002,1171,1,38.27,beauty
100002,1098,2,69.54,apparel
100002,1193,1,43.36,apparel
100003,1184,1,183.03,home
100003,1111,1,765.4,electronics
100003,1142,1,67.88,apparel
100003,1090,2,144.6,sports
100003,1015,1,115.97,home
100004,1161,2,129.47,home
100004,1086,2,43.56,toys
100004,1143,1,164.32,home
100004,1197,1,139.32,home
100004,1186,1,59.41,toys
100005,1047,2,763.91,electronics
100005,1096,1,196.33,home
100006,1013,1,158.77,home
100006,1029,1,86.81,toys
100006,1109,1,143.46,home
100006,1007,1,369.89,electronics
100007,1098,1,69.54,apparel
100007,1073,2,250.0,home
100007,1142,1,67.88,apparel
100007,1099,2,225.43,home
100007,1128,2,60.05,beauty
100008,1072,1,69.35,apparel
100008,1119,1,45.11,toys
100008,1178,1,243.28,sports
100009,1164,2,52.34,beauty
100009,1048,1,45.43,beauty
100009,1058,1,54.58,apparel
100010,1072,1,69.35,apparel
100010,1097,2,621.01,electronics
100011,1083,3,71.77,beauty
100012,1062,1,112.71,toys
100012,1011,1,44.07,beauty
100012,1168,1,161.73,sports
100012,1158,1,312.55,electronics
100012,1001,1,80.0,beauty
100013,1049,1,136.59,sports
100013,1044,2,79.34,apparel
100013,1041,1,113.13,home
100013,1183,1,66.39,toys
100013,1070,1,42.31,apparel
100014,1095,1,142.85,home
100014,1072,1,69.35,apparel
100014,1033,2,191.18,sports
100014,1013,1,158.77,home
100015,1026,1,260.63,sports
100016,1155,2,44.62,apparel
100016,1049,2,136.59,sports
100016,1054,1,25.79,beauty
100016,1131,1,220.75,sports
100016,1097,1,621.01,electronics
100017,1168,2,161.73,sports
100017,1055,1,157.79,home
100017,1079,2,62.01,toys
100017,1013,1,158.77,home
100018,1003,1,201.69,sports
100018,1072,1,69.35,apparel
100018,1126,1,115.29,home
100018,1045,1,437.44,electronics
100018,1011,1,44.07,beauty
100019,1107,2,172.14,sports
100019,1101,1,209.21,home
100019,1153,3,92.0,apparel
100019,1090,1,144.6,sports
100020,1121,2,823.88,electronics
100021,1066,1,48.25,beauty
100021,1045,1,437.44,electronics
100021,1042,2,56.2,toys
100021,1182,1,91.46,toys
100022,1061,1,152.78,home
100023,1100,1,49.23,beauty
100023,1005,1,57.79,apparel
100024,1003,1,201.69,sports
100024,1070,1,42.31,apparel
100024,1170,1,376.79,electronics
100024,1083,1,71.77,beauty
100024,1161,3,129.47,home
100025,1132,1,80.71,sports
100026,1065,2,105.62,home
100026,1053,1,49.48,beauty
100026,1173,1,26.26,beauty
100027,1191,2,615.38,electronics
100027,1034,1,20.67,beauty
100027,1092,1,77.48,apparel
100027,1118,1,108.89,sports
100027,1196,1,66.67,toys
100028,1173,1,26.26,beauty
100028,1138,1,150.0,toys
100028,1192,1,127.14,home
100028,1137,1,440.88,electronics
100028,1040,1,67.39,apparel
100029,1120,1,80.91,apparel
100030,1102,3,80.38,apparel
100030,1035,1,175.22,home
100030,1148,2,601.77,electronics
100030,1083,3,71.77,beauty
100031,1134,2,155.01,sports
100031,1054,1,25.79,beauty
100032,1098,1,69.54,apparel
100032,1131,1,220.75,sports
100032,1041,1,113.13,home
100033,1156,1,29.46,beauty
100033,1041,2,113.13,home
100033,1117,2,561.36,electronics
100034,1040,1,67.39,apparel
100034,1110,1,107.71,home
100034,1008,2,598.44,electronics
100034,1156,1,29.46,beauty
100035,1176,2,313.34,electronics
100035,1041,1,113.13,home
100035,1013,1,158.77,home
100035,1032,1,179.93,sports
100035,1117,2,561.36,electronics
100036,1031,1,37.46,apparel
100036,1100,2,49.23,beauty
100036,1195,2,63.61,beauty
100037,1057,2,81.2,apparel
100037,1196,1,66.67,toys
100037,1100,1,49.23,beauty
100037,1063,1,87.92,home
100038,1154,2,97.43,sports
100038,1081,1,25.98,beauty
100038,1087,1,90.05,toys
100038,1104,1,773.63,electronics
100039,1044,1,79.34,apparel
100040,1005,3,57.79,apparel
100041,1020,1,74.9,apparel
