user_id,signup_date,country,channel
1,2024-02-22,RO,affiliate
2,2023-10-11,US,search
3,2024-11-03,UK,direct
4,2024-09-17,FR,affiliate
5,2024-08-14,RO,search
6,2024-04-06,RO,referral
7,2024-02-09,RO,email
8,2024-01-16,US,search
9,2025-06-19,FR,affiliate
10,2023-10-22,UK,search
11,2023-10-19,RO,direct
12,2024-01-26,US,direct
13,2024-08-07,IT,referral
14,2024-08-29,RO,email
15,2025-10-27,RO,social
16,2023-10-14,RO,direct
17,2024-07-07,RO,search
18,2025-06-15,DE,email
19,2024-08-10,DE,email
20,2025-07-31,RO,search
21,2024-11-08,FR,social
22,2023-09-13,RO,direct
23,2024-05-08,RO,direct
24,2025-06-20,RO,search
25,2025-02-12,DE,search
26,2024-11-07,IT,search
27,2024-05-01,RO,direct
28,2024-08-02,DE,search
29,2025-02-06,FR,display
30,2024-02-08,RO,search
31,2024-01-25,FR,affiliate
32,2025-04-15,RO,social
33,2024-01-31,RO,direct
34,2025-03-13,US,search
35,2025-02-18,US,affiliate
36,2024-10-17,IT,search
37,2023-11-09,RO,display
38,2025-08-16,RO,direct
39,2024-03-14,UK,search
40,2025-04-13,DE,direct
41,2024-01-03,RO,email
42,2024-12-01,DE,search
43,2025-03-17,RO,social
44,2024-06-27,US,search
45,2023-12-20,RO,display
46,2023-11-13,UK,direct
47,2024-08-22,RO,search
48,2024-11-25,DE,email
49,2024-01-04,DE,direct
50,2024-08-29,RO,referral
51,2024-02-06,US,email
52,2025-04-15,IT,referral
53,2024-11-07,US,email
54,2025-08-07,US,social
55,2025-03-22,FR,direct
56,2024-05-12,US,email
57,2025-03-31,RO,social
58,2025-03-07,RO,email
59,2024-07-24,RO,direct
60,2024-10-21,RO,direct
61,2023-12-22,RO,social
62,2024-05-25,RO,social
63,2024-09-17,IT,email
64,2024-05-13,RO,email
65,2025-08-21,RO,search
66,2025-04-14,DE,direct
67,2024-10-26,RO,email
68,2024-08-09,IT,social
69,2025-01-18,RO,search
70,2023-11-28,US,search
71,2024-08-23,IT,referral
72,2023-10-22,RO,social
73,2025-01-05,RO,search
74,2025-05-18,IT,social
75,2024-10-22,UK,social
76,2023-12-14,UK,search
77,2024-07-26,IT,social
78,2025-01-03,RO,email
79,2024-07-29,RO,email
80,2025-10-17,RO,social
81,2025-05-09,US,social
82,2025-08-15,FR,referral
83,2024-04-11,RO,social
84,2024-10-18,RO,search
85,2024-04-06,RO,search
86,2024-09-20,RO,social
87,2024-10-15,UK,direct
88,2025-06-29,FR,search
89,2025-05-15,US,display
90,2025-03-18,DE,search
91,2024-08-08,RO,social
92,2024-04-04,UK,direct
93,2025-11-02,IT,social
94,2025-10-08,FR,email
95,2024-01-22,IT,search
96,2023-11-15,DE,display
97,2024-02-20,DE,search
98,2024-04-27,DE,direct
99,2024-05-08,RO,search
100,2025-06-19,RO,direct
101,2023-12-10,RO,social
102,2025-04-22,FR,display
103,2025-04-17,RO,social
104,2025-08-30,DE,direct
105,2024-09-27,US,search
106,2023-09-20,RO,search
107,2024-02-27,DE,email
108,2024-10-21,IT,search
109,2025-02-12,RO,search
110,2024-02-23,RO,referral
111,2024-12-01,RO,referral
112,2025-07-09,RO,social
113,2024-05-05,US,direct
114,2025-08-07,IT,email
115,2023-09-08,FR,search
116,2024-10-16,US,display
117,2025-10-19,IT,affiliate
118,2024-06-06,RO,referral
119,2025-10-30,US,search
120,2024-02-15,DE,affiliate
121,2024-12-09,IT,search
122,2025-10-30,US,search
123,2024-07-07,RO,search
124,2024-04-27,RO,referral
